City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Nador,MA,35.17,-2.93,59.0,88,40,3.44,scattered clouds
247,Bereda,ES,43.27,-7.54,44.01,99,15,5.99,few clouds
248,Moose Factory,CA,51.26,-80.61,35.6,75,1,12.66,clear sky
249,Mancio Lima,BR,-7.61,-72.90,78.8,89,90,6.91,light rain
250,Maracas,BR,-13.44,-40.43,71.42,68,47,12.21,scattered clouds
251,Porto Belo,BR,-27.16,-48.55,78.01,73,40,9.22,scattered clouds
252,Pallasovka,RU,50.05,46.88,39.11,62,100,3.94,overcast clouds
253,Saint Anthony,US,45.02,-93.22,77.0,20,1,6.91,clear sky
254,Kosh-Agach,RU,50.00,88.67,9.55,64,0,4.07,clear sky
255,Urumqi,CN,43.80,87.60,42.8,56,0,8.95,clear sky
256,Carutapera,BR,-1.20,-46.02,76.32,94,100,7.54,overcast clouds
257,Zvishavane,ZW,-20.33,30.07,60.58,93,0,1.12,clear sky
258,Malakal,SS,9.53,31.66,88.72,18,66,7.52,broken clouds
259,Monforte De Lemos,ES,42.52,-7.51,53.01,59,0,1.28,clear sky
260,Acarau,BR,-2.89,-40.12,79.74,82,99,13.76,overcast clouds
261,Ballina,AU,-28.87,153.57,68.0,94,75,3.44,broken clouds
262,Pskov,RU,57.81,28.35,37.4,70,0,11.18,clear sky
263,Peniche,PT,39.36,-9.38,55.99,87,0,1.01,clear sky
264,Praia Da Vitoria,PT,38.73,-27.07,59.0,94,75,8.63,broken clouds
265,Lunenburg,CA,44.38,-64.32,35.6,100,100,18.41,light rain
266,Whitley Bay,GB,55.04,-1.45,46.99,87,40,18.41,scattered clouds
267,Joao Pinheiro,BR,-17.74,-46.17,75.83,65,99,3.8,overcast clouds
268,Lovozero,RU,68.00,35.01,30.67,98,100,6.44,overcast clouds
269,Thompson,CA,55.74,-97.86,42.8,31,75,6.91,broken clouds
270,Adrar,MR,20.50,-10.07,83.71,11,100,10.63,overcast clouds
