City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
205,Yar-Sale,RU,2021-03-27 02:26:27,66.8333,70.8333,2.91,92,85,13.22
206,Marigot,MF,2021-03-27 02:34:54,18.0667,-63.0833,78.01,73,20,16.11
207,Kaputa,ZM,2021-03-27 02:34:54,-8.4689,29.6619,64.76,90,70,3.4
208,Veraval,IN,2021-03-27 02:30:42,20.9,70.3667,83.64,38,5,9.06
209,Sur,OM,2021-03-27 02:34:54,22.5667,59.5289,80.91,49,99,1.72
210,Vila Velha,BR,2021-03-27 02:25:21,-20.3297,-40.2925,75.2,88,0,2.3
211,Bafoulabe,ML,2021-03-27 02:34:55,13.8065,-10.8321,86.95,5,1,8.63
212,Bengkulu,ID,2021-03-27 02:30:05,-3.8004,102.2655,83.79,69,100,2.26
213,Nurota,UZ,2021-03-27 02:34:55,40.5614,65.6886,57.2,94,42,11.5
214,Umm Lajj,SA,2021-03-27 02:34:55,25.0213,37.2685,67.19,49,0,15.99
215,Kudymkar,RU,2021-03-27 02:31:17,59.0173,54.656,29.35,94,100,6.22
216,Asekeyevo,RU,2021-03-27 02:34:56,53.5742,52.7972,31.53,91,100,3.47
217,Riyadh,SA,2021-03-27 02:25:22,24.6877,46.7219,80.6,17,0,9.22
218,Qaanaaq,GL,2021-03-27 02:30:08,77.484,-69.3632,-9.65,69,100,4.7
219,Nioro,GM,2021-03-27 02:34:56,13.35,-15.75,76.8,33,0,7.2
220,Tanout,NE,2021-03-27 02:34:57,14.9709,8.8879,63.55,14,3,17.56
221,Rancharia,BR,2021-03-27 02:34:57,-22.2292,-50.8931,77.0,65,0,2.3
222,Iona,US,2021-03-27 02:34:57,26.5204,-81.964,78.8,73,90,5.75
223,Salym,RU,2021-03-27 02:34:57,60.0625,71.4789,32.22,97,100,4.0
224,Nuuk,GL,2021-03-27 02:26:33,64.1835,-51.7216,-15.23,75,5,15.77
225,Iquique,CL,2021-03-27 02:34:58,-20.2208,-70.1431,68.0,64,0,4.61
226,Urumqi,CN,2021-03-27 02:33:01,43.801,87.6005,48.2,71,0,6.71
227,Fomboni,KM,2021-03-27 02:34:58,-12.28,43.7425,82.99,72,47,6.04
228,Lodeynoye Pole,RU,2021-03-27 02:34:59,60.726,33.5531,31.84,98,100,1.77
229,Khed Brahma,IN,2021-03-27 02:34:59,24.0333,73.05,85.12,14,0,1.1
230,Praia Da Vitoria,PT,2021-03-27 02:25:28,38.7333,-27.0667,52.0,82,0,5.93
231,Issoire,FR,2021-03-27 02:34:59,45.55,3.25,44.6,65,75,2.3
232,Ajaccio,FR,2021-03-27 02:30:29,42.0,8.9167,44.6,81,0,8.05
233,Pulaski,US,2021-03-27 02:35:00,34.7668,-92.3001,62.01,72,1,8.05
234,Dreux,FR,2021-03-27 02:35:00,48.6667,1.25,37.99,87,0,11.5
235,Maridi,SS,2021-03-27 02:35:00,4.9158,29.4742,66.99,91,98,7.85
236,Adrar,MR,2021-03-27 02:35:00,20.5022,-10.0711,70.95,7,0,10.83
237,Frutal,BR,2021-03-27 02:35:01,-20.0247,-48.9406,76.55,55,70,4.03
238,Hamilton,US,2021-03-27 02:22:47,39.1834,-84.5333,51.01,87,1,3.04
239,Reconquista,AR,2021-03-27 02:35:01,-29.15,-59.65,67.57,93,100,11.81
240,Tamandare,BR,2021-03-27 02:34:33,-8.7597,-35.1047,77.2,84,100,4.79
241,Forestville,US,2021-03-27 02:35:02,38.8451,-76.875,64.4,48,1,11.5
242,Lypnyazhka,UA,2021-03-27 02:35:02,48.4469,31.0761,40.19,80,100,5.79
243,Sao Joaquim,BR,2021-03-27 02:35:02,-28.2939,-49.9317,56.8,98,100,1.16
244,Tosya,TR,2021-03-27 02:35:02,41.0155,34.0401,31.66,91,98,4.34
245,Henties Bay,NA,2021-03-27 02:26:38,-22.116,14.2845,61.0,95,90,3.0
246,Garowe,SO,2021-03-27 02:35:03,8.4054,48.4845,66.87,91,18,7.11
247,Phalombe,MW,2021-03-27 02:35:03,-15.8064,35.6507,65.08,93,0,0.34
248,Cape Canaveral,US,2021-03-27 02:35:04,28.4058,-80.6048,77.0,88,1,9.22
249,Pascagoula,US,2021-03-27 02:32:30,30.3658,-88.5561,73.4,94,90,4.61
250,Maceio,BR,2021-03-27 02:26:13,-9.6658,-35.7353,73.4,100,75,5.75
251,Najran,SA,2021-03-27 02:25:29,17.4924,44.1277,64.4,22,0,4.61
252,Rocha,UY,2021-03-27 02:35:04,-34.4833,-54.3333,67.21,96,87,3.69
253,Bonthe,SL,2021-03-27 02:35:04,7.5264,-12.505,77.18,91,17,4.94
