City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Takoradi,GH,79.39,light rain,4.88,-1.76,Raybow International Hotel
306,San Juan,AR,83.64,broken clouds,-31.54,-68.54,Hotel Provincial
307,Durazno,UY,80.6,few clouds,-33.41,-56.5,Hotel Santa Cristina
308,Naliya,IN,78.06,clear sky,23.27,68.83,Hotel Panchvati
311,Tembisa,ZA,60.01,clear sky,-26.0,28.23,2 Bongani Trevor Khumalo Crescent
312,Sal Rei,CV,69.8,few clouds,16.18,-22.92,Marine Club Beach Resort
313,Aragarcas,BR,78.55,broken clouds,-15.9,-52.25,Hotel Pousada Tropical
314,Malanje,AO,64.0,few clouds,-9.54,16.34,Malanje Hotel
315,Bilma,NE,76.24,clear sky,18.69,12.92,Expeditions Ténére voyages
318,Buraydah,SA,64.4,clear sky,26.33,43.98,فندق راحة السلام
319,Toamasina,MG,75.2,few clouds,-18.17,49.38,Hotel H1
320,Akropong,GH,84.2,few clouds,5.97,-0.09,Vip Lodge
321,Bubaque,GW,75.7,scattered clouds,11.28,-15.83,"Casa Dora, Bubaque"
323,Aswan,EG,68.92,clear sky,24.09,32.91,Nuba Nile
324,Reconquista,AR,76.14,clear sky,-29.15,-59.65,Grand Hotel
325,Benjamin Constant,BR,78.8,scattered clouds,-4.38,-70.03,CASA AVALIADA
326,Taltal,CL,67.08,few clouds,-25.4,-70.48,Residencial Karime
328,Labrea,BR,76.06,overcast clouds,-7.26,-64.8,Hotel Novo Horizonte
332,Nguru,NG,80.91,clear sky,12.88,10.45,Government Lodge
333,Kpandu,GH,80.33,scattered clouds,7.0,0.29,Emo House
334,Najran,SA,69.8,dust,17.49,44.13,محمد هادي ال فطيح
335,Ankazoabo,MG,65.21,clear sky,-22.28,44.52,ENCEIN BUREAU CISCO
338,Boke,GN,74.79,broken clouds,10.94,-14.3,Hôtel Rio Nunez - Boké
339,Rio Brilhante,BR,82.92,overcast clouds,-21.8,-54.55,Hotel Cattani
340,Sokoto,NG,84.56,clear sky,13.06,5.24,Shukura Coral Hotel
343,Loralai,PK,66.94,overcast clouds,30.37,68.6,Saddam Hotel & Resturant
344,Acajutla,SV,89.6,clear sky,13.59,-89.83,Urbanización Brisas de Acajutla II
350,Oyem,GA,69.26,light rain,1.6,11.58,Commissariat de police
351,Pontevedra,ES,61.0,clear sky,42.43,-8.64,Parador de Pontevedra
352,Tarragona,ES,54.0,clear sky,41.13,1.25,Hotel SB Ciutat de Tarragona
355,Mamallapuram,IN,82.4,mist,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
358,Mizdah,LY,70.97,overcast clouds,31.45,12.98,فندق بنيه تحتيه
361,Panzos,GT,82.4,broken clouds,15.4,-89.67,Hotel Noemi
363,Presidencia Roque Saenz Pena,AR,82.99,overcast clouds,-26.79,-60.44,Hotel Aconcagua
364,Anamur,TR,51.8,clear sky,36.08,32.84,Luna Piena Beach Hotel
366,Ugoofaaru,MV,83.82,broken clouds,5.67,73.0,Ungoofaaru Inn
367,Senador Jose Porfirio,BR,77.67,overcast clouds,-2.59,-51.95,MORADA DO SOL pousada
368,Nouakchott,MR,75.2,broken clouds,18.09,-15.98,HOTEL IMAN فندق إيمان
372,Willowmore,ZA,61.0,few clouds,-33.29,23.49,Jumper's Place
373,Nisia Floresta,BR,82.4,few clouds,-6.09,-35.21,Rancho Crepusculo
374,Lasa,IT,51.8,clear sky,46.62,10.7,Pension Feldgärtenhof
376,Valparaiso,CL,62.6,broken clouds,-33.04,-71.63,Hotel Ultramar
378,Beziers,FR,55.99,clear sky,43.35,3.22,Zenitude Hôtel-Résidences Béziers Centre
379,Aquiraz,BR,82.99,few clouds,-3.9,-38.39,Hotel Laguna Blu
380,Vilhena,BR,78.8,moderate rain,-12.74,-60.15,Hotel Mirage
381,Guayaramerin,BO,75.09,light rain,-10.84,-65.36,Hostal Funf
382,The Valley,AI,84.2,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
383,Port-Gentil,GA,82.4,light rain,-0.72,8.78,Fengshui Residence
384,Touros,BR,78.8,few clouds,-5.2,-35.46,INN NEW HORIZON
387,Corbelia,BR,80.6,clear sky,-24.8,-53.31,Hotel Peroza
388,Vieux-Habitants,GP,78.8,few clouds,16.06,-61.77,Gîtes Dardanelle
391,Liverpool,GB,51.8,overcast clouds,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
397,Kumba,CM,75.76,broken clouds,4.64,9.45,El Bethel Hotel
399,Bubanza,BI,67.98,overcast clouds,-3.12,29.4,Procure Saint Jean
402,Alnavar,IN,70.07,clear sky,15.43,74.73,Ashwin Hotel & Lodge
403,Eregli,TR,55.42,broken clouds,37.51,34.05,Hotel Fuat Bey
404,Camaguey,CU,77.0,scattered clouds,21.38,-77.92,Tararaco
405,Salinopolis,BR,78.84,moderate rain,-0.61,-47.36,Salinas Park Resort Maçarico AP101
406,Epe,NG,80.82,clear sky,6.58,3.98,MAGVILLE HOTEL
407,Teofilo Otoni,BR,70.23,broken clouds,-17.86,-41.51,Hotel Nobre Palace
408,Kedougou,SN,95.0,clear sky,12.56,-12.17,Relais de Kédougou
